,Author,Repo,Language,Star,Fork
0,deepmind,mujoco,C,"1,731",96
1,arthurspk,guiadevbrasil,,"1,530",215
2,datreeio,datree,Go,"4,272",98
3,psf,black,Python,"22,964","1,472"
4,cloudreve,Cloudreve,Go,"10,904","1,912"
5,Spikeysanju,Einsen,Kotlin,275,10
6,paritytech,substrate,Rust,"5,789","1,756"
7,ianstormtaylor,slate,TypeScript,"22,497","2,485"
8,google,jax,Python,"14,533","1,363"
9,Yin-Hongwei,music-website,Vue,"1,200",428
10,python,mypy,Python,"11,526","1,928"
11,toniblyx,prowler,Shell,"4,022",762
12,mperham,sidekiq,Ruby,"11,291","2,013"
13,sudheerj,javascript-interview-questions,JavaScript,"5,772","1,810"
14,airbnb,lottie-ios,Swift,"22,064","3,232"
15,jwasham,coding-interview-university,,"195,024","52,492"
16,Snailclimb,JavaGuide,Java,"112,378","38,430"
17,CoinAlpha,hummingbot,Python,"2,483","1,017"
18,puppeteer,puppeteer,TypeScript,"73,948","7,811"
19,TechXueXi,TechXueXi,Python,629,209
20,GitSquared,edex-ui,JavaScript,"34,011","1,829"
21,deepfakes,faceswap,Python,"38,761","11,238"
22,craftzdog,dotfiles-public,Vim script,583,127
23,Footsiefat,zspotify,Python,250,31
24,vuetifyjs,vuetify,TypeScript,"32,411","5,914"
